image_pair_id,left_cropped_image,right_cropped_image,algorithm,params,runtime_ms,computed_disparity,left_crop_bbox_x_rect,left_crop_bbox_y_rect,left_crop_bbox_w_rect,left_crop_bbox_h_rect,detection_confidence_left
213,left_213_cropped.jpg,right_213_cropped.jpg,ROIDisparity,{},0.05598099994585937,,1110,791,716,505,0.6481502652168274
214,left_214_cropped.jpg,right_214_cropped.jpg,ROIDisparity,{},0.05942600000707898,,1089,805,811,491,0.39364102482795715
215,left_215_cropped.jpg,right_215_cropped.jpg,ROIDisparity,{},0.06833399993411149,,61,0,306,176,0.34233957529067993
216,left_216_cropped.jpg,right_216_cropped.jpg,ROIDisparity,{},0.060778000033678836,,1076,800,744,496,0.5429531335830688
38,left_38_cropped.jpg,right_38_cropped.jpg,ROIDisparity,{},0.04483299994717527,,1084,323,185,186,0.9081007838249207
39,left_39_cropped.jpg,right_39_cropped.jpg,ROIDisparity,{},0.04229700004998449,,1280,508,214,208,0.9081007838249207
53,left_53_cropped.jpg,right_53_cropped.jpg,ROIDisparity,{},0.057018999996216735,,1477,434,519,471,0.8935293555259705
54,left_54_cropped.jpg,right_54_cropped.jpg,ROIDisparity,{},0.07314800006952282,,762,480,456,452,0.9005928039550781
55,left_55_cropped.jpg,right_55_cropped.jpg,ROIDisparity,{},0.04881500001374661,,751,456,284,299,0.8511484861373901
56,left_56_cropped.jpg,right_56_cropped.jpg,ROIDisparity,{},0.029369999992923113,,1107,439,270,269,0.9189115166664124
57,left_57_cropped.jpg,right_57_cropped.jpg,ROIDisparity,{},0.056517999951211095,,1486,509,404,332,0.9005928039550781
58,left_58_cropped.jpg,right_58_cropped.jpg,ROIDisparity,{},0.03279599991401483,,1204,601,434,416,0.9005928039550781
59,left_59_cropped.jpg,right_59_cropped.jpg,ROIDisparity,{},0.05218499995862658,,815,634,442,445,0.9005928039550781
60,left_60_cropped.jpg,right_60_cropped.jpg,ROIDisparity,{},0.0731110000060653,,725,482,370,373,0.9005928039550781
61,left_61_cropped.jpg,right_61_cropped.jpg,ROIDisparity,{},0.0575369999751274,,1203,490,368,392,0.8970611095428467
62,left_62_cropped.jpg,right_62_cropped.jpg,ROIDisparity,{},0.057074000096690725,,1480,480,483,400,0.8582119941711426
63,left_63_cropped.jpg,right_63_cropped.jpg,ROIDisparity,{},0.058795999962057977,,1018,323,538,515,0.9005928039550781
64,left_64_cropped.jpg,right_64_cropped.jpg,ROIDisparity,{},0.05237000004854053,,562,416,529,479,0.9005928039550781
65,left_65_cropped.jpg,right_65_cropped.jpg,ROIDisparity,{},0.04449999994449172,,876,467,491,480,0.9005928039550781
66,left_66_cropped.jpg,right_66_cropped.jpg,ROIDisparity,{},0.05074099999546888,,1314,571,374,375,0.8899976015090942
67,left_67_cropped.jpg,right_67_cropped.jpg,ROIDisparity,{},0.04127799991238135,,946,640,261,270,0.9189115166664124
68,left_68_cropped.jpg,right_68_cropped.jpg,ROIDisparity,{},0.04129599994939781,,1005,514,310,297,0.9189115166664124
72,left_72_cropped.jpg,right_72_cropped.jpg,ROIDisparity,{},0.06701799998154456,,965,557,135,135,0.7531470656394958
73,left_73_cropped.jpg,right_73_cropped.jpg,ROIDisparity,{},0.03574100003334024,,1103,544,133,138,0.7675613760948181
74,left_74_cropped.jpg,right_74_cropped.jpg,ROIDisparity,{},0.025981999897339847,,1053,553,117,121,0.7063006162643433
75,left_75_cropped.jpg,right_75_cropped.jpg,ROIDisparity,{},0.019795999946836673,,1083,612,106,117,0.7063006162643433
76,left_76_cropped.jpg,right_76_cropped.jpg,ROIDisparity,{},0.016703000028428505,,1017,614,115,116,0.7026970386505127
77,left_77_cropped.jpg,right_77_cropped.jpg,ROIDisparity,{},0.013889000001654495,,931,513,126,128,0.6306255459785461
78,left_78_cropped.jpg,right_78_cropped.jpg,ROIDisparity,{},0.017925999941326154,,1089,442,137,150,0.8396328687667847
79,left_79_cropped.jpg,right_79_cropped.jpg,ROIDisparity,{},0.026036999997813837,,897,382,127,124,0.8216149806976318
80,left_80_cropped.jpg,right_80_cropped.jpg,ROIDisparity,{},0.044481000031737494,,1025,788,154,161,0.8504436016082764
81,left_81_cropped.jpg,right_81_cropped.jpg,ROIDisparity,{},0.04081400004452007,,1144,799,136,153,0.7783721089363098
82,left_82_cropped.jpg,right_82_cropped.jpg,ROIDisparity,{},0.0492590000931159,,1065,622,193,177,0.886479377746582
83,left_83_cropped.jpg,right_83_cropped.jpg,ROIDisparity,{},0.05342599990854069,,875,539,155,154,0.828822135925293
87,left_87_cropped.jpg,right_87_cropped.jpg,ROIDisparity,{},0.053370000046015775,,904,498,213,229,0.8540471792221069
88,left_88_cropped.jpg,right_88_cropped.jpg,ROIDisparity,{},0.04257399996276945,,1198,499,227,228,0.9081007838249207
89,left_89_cropped.jpg,right_89_cropped.jpg,ROIDisparity,{},0.056814999993548554,,1477,392,221,208,0.897290050983429
90,left_90_cropped.jpg,right_90_cropped.jpg,ROIDisparity,{},2.886197000066204,,1444,210,193,205,0.8936864733695984
91,left_91_cropped.jpg,right_91_cropped.jpg,ROIDisparity,{},0.05061100000602892,,1433,449,214,214,0.9189115166664124
92,left_92_cropped.jpg,right_92_cropped.jpg,ROIDisparity,{},0.05077700006950181,,1165,625,236,244,0.9189115166664124
93,left_93_cropped.jpg,right_93_cropped.jpg,ROIDisparity,{},0.0385000000733271,,876,565,220,215,0.9117043614387512
94,left_94_cropped.jpg,right_94_cropped.jpg,ROIDisparity,{},0.03035100007764413,,789,354,189,183,0.8828758001327515
95,left_95_cropped.jpg,right_95_cropped.jpg,ROIDisparity,{},0.04259199999978591,,811,129,197,208,0.8792722225189209
96,left_96_cropped.jpg,right_96_cropped.jpg,ROIDisparity,{},0.045554999928754114,,696,203,336,358,0.9005928039550781
97,left_97_cropped.jpg,right_97_cropped.jpg,ROIDisparity,{},0.04061100003127649,,1338,400,386,362,0.9005928039550781
98,left_98_cropped.jpg,right_98_cropped.jpg,ROIDisparity,{},0.03281399995103129,,1764,168,440,410,0.8546802401542664
